,bmi,gender,is_training,name
0,34.2073961938,Male,1,img_0.bmp
1,26.4537197232,Male,1,img_1.bmp
2,34.9675605536,Female,1,img_2.bmp
3,22.044766436,Female,1,img_3.bmp
4,37.7587890625,Female,1,img_4.bmp
5,24.8864746094,Female,1,img_5.bmp
6,25.8455882353,Female,1,img_6.bmp
7,21.740700692,Female,1,img_7.bmp
8,30.6158579882,Female,1,img_8.bmp
9,26.7888757396,Female,1,img_9.bmp
10,38.7327823691,Male,1,img_10.bmp
11,30.8248393021,Male,1,img_11.bmp
12,41.3988888889,Male,1,img_12.bmp
13,31.0491666667,Male,1,img_13.bmp
14,35.5613965483,Male,1,img_14.bmp
15,25.7994445547,Male,1,img_15.bmp
16,33.199527745,Male,1,img_16.bmp
17,23.5953786473,Male,1,img_17.bmp
18,41.2094594595,Male,1,img_18.bmp
19,21.3108108108,Male,1,img_19.bmp
20,26.6224852071,Male,1,img_20.bmp
21,21.6307692308,Male,1,img_21.bmp
22,41.8090397924,Male,1,img_22.bmp
23,22.3488321799,Male,1,img_23.bmp
24,33.8112792969,Female,1,img_24.bmp
25,24.8864746094,Female,1,img_25.bmp
26,35.549342838,Male,1,img_26.bmp
27,30.8511918022,Male,1,img_27.bmp
28,31.4511657215,Male,1,img_28.bmp
29,20.3768115942,Male,1,img_29.bmp
30,33.9023919753,Male,1,img_30.bmp
31,27.7999614198,Male,1,img_31.bmp
32,31.4703856749,Female,1,img_32.bmp
33,23.4010560147,Female,1,img_33.bmp
34,29.2252456538,Female,1,img_34.bmp
35,22.1403376165,Female,1,img_35.bmp
36,31.1667387543,Female,1,img_36.bmp
37,22.044766436,Female,1,img_37.bmp
38,41.6866203791,Male,1,img_38.bmp
39,36.2779133046,Male,1,img_39.bmp
40,39.5759054232,Male,1,img_40.bmp
41,28.8904109589,Male,1,img_41.bmp
42,43.5334959655,Male,1,img_42.bmp
43,35.6183148808,Male,1,img_43.bmp
44,36.4878892734,Male,1,img_44.bmp
45,25.8455882353,Male,1,img_45.bmp
46,37.9321563182,Male,1,img_46.bmp
47,30.4015076374,Male,1,img_47.bmp
48,44.0731095679,Male,1,img_48.bmp
49,40.6828703704,Male,1,img_49.bmp
50,27.8220155709,Male,1,img_50.bmp
51,21.2846020761,Male,1,img_51.bmp
52,36.4878892734,Male,1,img_52.bmp
53,27.365916955,Male,1,img_53.bmp
54,35.7277249135,Female,1,img_54.bmp
55,21.2846020761,Female,1,img_55.bmp
56,37.9258494031,Female,1,img_56.bmp
57,23.4010560147,Female,1,img_57.bmp
58,38.2736816406,Female,1,img_58.bmp
59,29.1772460938,Female,1,img_59.bmp
60,30.2446222222,Male,1,img_60.bmp
61,21.9960888889,Male,1,img_61.bmp
62,33.2990677753,Female,1,img_62.bmp
63,23.9115646259,Female,1,img_63.bmp
64,37.5852082869,Male,1,img_64.bmp
65,26.6228558699,Male,1,img_65.bmp
66,51.4892578125,Female,1,img_66.bmp
67,25.7446289062,Female,1,img_67.bmp
68,41.6866203791,Male,1,img_68.bmp
69,29.5500093826,Male,1,img_69.bmp
70,37.9736842105,Male,1,img_70.bmp
71,31.8881578947,Male,1,img_71.bmp
72,41.9701492537,Male,1,img_72.bmp
73,26.3096458008,Male,1,img_73.bmp
74,51.4892578125,Female,1,img_74.bmp
75,24.0283203125,Female,1,img_75.bmp
76,31.9469822485,Female,1,img_76.bmp
77,25.1249704142,Female,1,img_77.bmp
78,39.9342838049,Male,1,img_78.bmp
79,32.8870572511,Male,1,img_79.bmp
80,39.4644687013,Female,1,img_80.bmp
81,26.936065939,Female,1,img_81.bmp
82,46.25,Male,1,img_82.bmp
83,29.2105263158,Male,1,img_83.bmp
84,41.5003341501,Female,1,img_84.bmp
85,30.8511918022,Female,1,img_85.bmp
86,54.1237024221,Female,1,img_86.bmp
87,38.0082179931,Female,1,img_87.bmp
88,53.6907359651,Male,1,img_88.bmp
89,34.1668319778,Male,1,img_89.bmp
90,49.7411555556,Male,1,img_90.bmp
91,40.3678222222,Male,1,img_91.bmp
92,35.1426170972,Female,1,img_92.bmp
93,27.4643982357,Female,1,img_93.bmp
94,37.2438964844,Female,1,img_94.bmp
95,32.6098632812,Female,1,img_95.bmp
96,42.2631952663,Male,1,img_96.bmp
97,29.950295858,Male,1,img_97.bmp
98,29.285855981,Male,1,img_98.bmp
99,25.1021622694,Male,1,img_99.bmp
100,29.8341049383,Male,1,img_100.bmp
101,24.4097222222,Male,1,img_101.bmp
102,37.2438964844,Female,1,img_102.bmp
103,32.0949707031,Female,1,img_103.bmp
104,42.2408267906,Male,1,img_104.bmp
105,30.7513219035,Male,1,img_105.bmp
106,29.8341049383,Male,1,img_106.bmp
107,24.4097222222,Male,1,img_107.bmp
108,35.15,Female,1,img_108.bmp
109,25.6810204082,Female,1,img_109.bmp
110,37.5521193772,Male,1,img_110.bmp
111,28.4301470588,Male,1,img_111.bmp
112,39.1911651235,Male,1,img_112.bmp
113,35.1228780864,Male,1,img_113.bmp
114,34.0789473684,Male,1,img_114.bmp
115,25.5592105263,Male,1,img_115.bmp
116,39.1554054054,Male,1,img_116.bmp
117,28.2432432432,Male,1,img_117.bmp
118,33.8112792969,Female,1,img_118.bmp
119,27.4609375,Female,1,img_119.bmp
120,35.8009259259,Male,1,img_120.bmp
121,23.8672839506,Male,1,img_121.bmp
122,38.0082179931,Female,1,img_122.bmp
123,32.5350346021,Female,1,img_123.bmp
124,38.0082179931,Female,1,img_124.bmp
125,29.7984429066,Female,1,img_125.bmp
126,36.6059171598,Female,1,img_126.bmp
127,29.6175147929,Female,1,img_127.bmp
128,43.2315016862,Male,1,img_128.bmp
129,32.074985122,Male,1,img_129.bmp
130,38.312283737,Female,1,img_130.bmp
131,26.9098183391,Female,1,img_131.bmp
132,36.9587881488,Female,1,img_132.bmp
133,30.6945867677,Female,1,img_133.bmp
134,47.0565200617,Male,1,img_134.bmp
135,37.2926311728,Male,1,img_135.bmp
136,42.0825456837,Male,1,img_136.bmp
137,37.8004620878,Male,1,img_137.bmp
138,54.0287369125,Female,1,img_138.bmp
139,46.5116952551,Female,1,img_139.bmp
140,34.9675605536,Male,1,img_140.bmp
141,32.5350346021,Male,1,img_141.bmp
142,43.3293685121,Female,1,img_142.bmp
143,24.3252595156,Female,1,img_143.bmp
144,31.6342169748,Female,1,img_144.bmp
145,26.936065939,Female,1,img_145.bmp
146,37.597110152,Male,1,img_146.bmp
147,23.7455432539,Male,1,img_147.bmp
148,47.4633487654,Male,1,img_148.bmp
149,31.8682484568,Male,1,img_149.bmp
150,29.5628858025,Male,1,img_150.bmp
151,27.1219135802,Male,1,img_151.bmp
152,38.2434362529,Male,1,img_152.bmp
153,27.0214240706,Male,1,img_153.bmp
154,59.4894222222,Male,1,img_154.bmp
155,34.4938666667,Male,1,img_155.bmp
156,37.7587890625,Female,1,img_156.bmp
157,25.7446289062,Female,1,img_157.bmp
